| | |Class 1| |Class 2| |Class 3| |Class 4| |Class 5|
周一
|Lesson 1| |物理1班 熊爱娥| |化学1班 赵敏| |政治1班 龚菊萍| |历史1班 刘丽| |生物1班 许光明|
|Lesson 2| |地理1班 自习2| |物理2班 熊爱娥| |历史2班 刘丽| |政治2班 王迪| |生物2班 愈愈|
|Lesson 3| |地理2班 自习1| |物理3班 熊爱娥| |政治3班 王迪| |化学2班 赵敏| |化学3班 罗晴|
